arbitration_id,adj_page_sum,adj_page_mean,adj_page_var,adj_page_sd,adj_page_min,adj_page_max,italaw_title,italaw_case_type,italaw_arbitration_rules,italaw_investment_treaty,italaw_legal_instruments,italaw_economic_sector,page_sum,page_mean,page_var,page_sd,page_min,page_max,num_known_docs,num_avail_docs,pct_avail_docs
1987_aapl_v_sri_lanka,72.0,36.0,288.0,16.97056274847714,24.0,48.0,"Asian Agricultural Products Ltd. v. Republic of Sri Lanka, ICSID Case No. ARB/87/3 | italaw",International Investment Agreement,ICSID,Sri Lanka-United Kingdom BIT,Sri Lanka-United Kingdom BIT,,36.0,18.0,72.0,8.48528137423857,12.0,24.0,2,2,1.0
1993_amt_v_democratic_republic_of_the_congo,56.0,28.0,512.0,22.627416997969522,12.0,44.0,"American Manufacturing & Trading, Inc. v. Republic of Zaire, ICSID Case No. ARB/93/1  | italaw",International Investment Agreement,ICSID,Democratic Republic of Congo-United States BIT,Democratic Republic of Congo-United States BIT,,28.0,14.0,128.0,11.313708498984761,6.0,22.0,2,2,1.0
1994_saar_papier_v_poland_i,62.0,10.333333333333334,117.4666666666667,10.838204033264308,3.0,32.0,"Saar Papier Vertriebs GmbH v. Poland, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),Germany-Poland BIT,Germany-Poland BIT,,62.0,10.333333333333334,117.4666666666667,10.838204033264308,3.0,32.0,7,6,0.8571428571428571
1995_goetz_v_burundi_i,71.0,71.0,,,71.0,71.0,"Antoine Goetz et consorts v. République du Burundi, ICSID Case No. ARB/95/3 | italaw",International Investment Agreement,ICSID Convention - Arbitration Rules,Belgium-Luxembourg-Burundi BIT,BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),"Mining and quarrying, including hydrocarbons (oil and gas)",71.0,71.0,,,71.0,71.0,1,1,1.0
1996_biedermann_v_kazakhstan,8.0,8.0,,,8.0,8.0,"Biedermann International, Inc. v. Republic of Kazakhstan and Association for Social and Economic Development of Western Kazakhstan ""Intercaspian"", SCC Case No. 97/1996 | italaw",International Investment Agreement,SCC,Kazakhstan-United States BIT,Kazakhstan-United States BIT,"Mining and quarrying, including hydrocarbons (oil and gas)",8.0,8.0,,,8.0,8.0,2,1,0.5
1996_fedax_v_venezuela,21.0,10.5,12.5,3.5355339059327378,8.0,13.0,"Fedax N.V. v. The Republic of Venezuela, ICSID Case No. ARB/96/3 | italaw",International Investment Agreement,ICSID,Netherlands-Venezuela BIT,Netherlands-Venezuela BIT,,21.0,10.5,12.5,3.5355339059327378,8.0,13.0,2,2,1.0
1996_sedelmayer_v_russia,321.0,16.894736842105264,777.766081871345,27.888457861117832,2.0,130.0,"Mr. Franz Sedelmayer v. The Russian Federation, SCC | italaw",International Investment Agreement,ad hoc,Germany-Russian Federation BIT,Germany-Russian Federation BIT,,321.0,16.894736842105264,777.766081871345,27.888457861117832,2.0,130.0,29,19,0.6551724137931034
1997_azinian_v_mexico,491.0,49.1,2446.544444444444,49.462555983738284,7.0,151.0,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States, ICSID Case No. ARB (AF)/97/2 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,491.0,49.1,2446.544444444444,49.462555983738284,7.0,151.0,10,10,1.0
1997_csob_v_slovakia,186.0,26.571428571428573,2126.285714285714,46.111665707125724,2.0,128.0,"Ceskoslovenska Obchodni Banka, A.S. v. The Slovak Republic, ICSID Case No. ARB/97/4 | italaw",International Investment Agreement,ICSID,Czech Republic-Slovak Republic BIT,,,186.0,26.571428571428573,2126.285714285714,46.111665707125724,2.0,128.0,10,7,0.7
1997_ethyl_v_canada,191.0,31.833333333333332,442.16666666666663,21.02775943049251,12.0,52.0,"Ethyl Corporation v. The Government of Canada, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,,191.0,31.833333333333332,442.16666666666663,21.02775943049251,12.0,52.0,6,6,1.0
1997_lanco_v_argentina,17.0,17.0,,,17.0,17.0,"Lanco International Inc. v. The Argentine Republic, ICSID Case No. ARB/97/6 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,,17.0,17.0,,,17.0,17.0,1,1,1.0
1997_maffezini_v_spain,85.0,17.0,243.49999999999997,15.604486534327235,5.0,36.0,"Emilio Agustín Maffezini v. The Kingdom of Spain, ICSID Case No. ARB/97/7 | italaw",International Investment Agreement,ICSID,Argentina-Spain BIT,Argentina-Spain BIT,,85.0,17.0,243.49999999999997,15.604486534327235,5.0,36.0,5,5,1.0
1997_metalclad_v_mexico,892.0,49.55555555555556,5336.02614379085,73.04810842034755,2.0,266.0,"Metalclad Corporation v. The United Mexican States, ICSID Case No. ARB(AF)/97/1 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,"Water supply; sewerage, waste management and remediation activities",892.0,49.55555555555556,5336.02614379085,73.04810842034755,2.0,266.0,18,18,1.0
1997_vivendi_v_argentina_i,772.0,70.18181818181819,10257.563636363637,101.27963090554604,4.0,271.0,"Compañiá de Aguas del Aconquija S.A. and Vivendi Universal S.A. v. Argentine Republic, ICSID Case No. ARB/97/3 (formerly Compañía de Aguas del Aconquija, S.A. and Compagnie Générale des Eaux v. Argentine Republic)  | italaw",International Investment Agreement,ICSID,Argentina-France BIT,Argentina-France BIT,,772.0,70.18181818181819,10257.563636363637,101.27963090554604,4.0,271.0,13,11,0.8461538461538461
1998_benhamou_v_uruguay,92.0,92.0,,,92.0,92.0,"Stephane Benhamou v. Uruguay, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),France-Uruguay BIT,France-Uruguay BIT,Financial and insurance activities,92.0,92.0,,,92.0,92.0,1,1,1.0
1998_houston_industries_v_argentina,70.0,17.5,107.0,10.344080432788601,2.0,23.0,"Houston Industries Energy, Inc. and others v. Argentine Republic, ICSID Case No. ARB/98/1 | italaw",International Investment Agreement,ICSID,Argentina-United States BIT,Argentina-United States BIT,"Electricity, gas, steam and air conditioning supply",70.0,17.5,107.0,10.344080432788601,2.0,23.0,4,4,1.0
1998_lemire_v_ukraine_i,12.0,12.0,,,12.0,12.0,"Joseph Charles Lemire v. Ukraine, ICSID Case No. ARB(AF)/98/1 | italaw",International Investment Agreement,ICSID Additional Facility,Ukraine-United States BIT,Ukraine-United States BIT,,12.0,12.0,,,12.0,12.0,1,1,1.0
1998_loewen_v_usa,1971.0,49.275,2751.948076923077,52.4590133048943,3.0,222.0,"Loewen Group, Inc. and Raymond L. Loewen v. United States of America, ICSID Case No. ARB(AF)/98/3 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,1971.0,49.275,2751.948076923077,52.4590133048943,3.0,222.0,40,40,1.0
1998_myers_v_canada,1154.0,32.05555555555556,1044.0539682539682,32.31182396977874,2.0,133.0,"S.D. Myers, Inc. v. Government of Canada, UNCITRAL | italaw",International Investment Agreement,UNCITRAL (1976),NAFTA,NAFTA,,1154.0,32.05555555555556,1044.0539682539682,32.31182396977874,2.0,133.0,36,36,1.0
1998_olguin_v_paraguay,36.0,18.0,128.0,11.313708498984761,10.0,26.0,"Eudoro Armando Olguín v. Republic of Paraguay, ICSID Case No. ARB/98/5 | italaw",International Investment Agreement,ICSID,Paraguay-Peru BIT,Paraguay-Peru BIT,,36.0,18.0,128.0,11.313708498984761,10.0,26.0,2,2,1.0
1998_pey_casado_and_allende_foundation_v_chile,5509.0,40.50735294117647,13803.91105664488,117.49004662797985,1.0,1274.0,"Victor Pey Casado and President Allende Foundation v. Republic of Chile (I), ICSID Case No. ARB/98/2 | italaw",International Investment Agreement,ICSID Convention - Arbitration Rules,Chile-Spain BIT,Chile-Spain BIT,Information and communication,5494.0,40.39705882352941,13794.344880174287,117.4493289898852,1.0,1274.0,136,136,1.0
1998_waste_management_v_mexico_i,195.0,21.666666666666668,524.0,22.891046284519195,3.0,75.0,"Waste Management, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/98/2 | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,195.0,21.666666666666668,524.0,22.891046284519195,3.0,75.0,9,9,1.0
1998_wena_hotels_v_egypt,114.0,28.5,155.66666666666669,12.476644848141936,15.0,41.0,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4 | italaw",International Investment Agreement,ICSID,Egypt-United Kingdom BIT,Egypt-United Kingdom BIT,,114.0,28.5,155.66666666666669,12.476644848141936,15.0,41.0,4,4,1.0
1999_feldman_v_mexico,810.0,40.5,1846.4736842105262,42.97061419401084,3.0,141.0,"Marvin Roy Feldman Karpa v. United Mexican States, ICSID Case No. ARB(AF)/99/1 (also known as Marvin Feldman v. Mexico)  | italaw",International Investment Agreement,ICSID Additional Facility,NAFTA,NAFTA,,810.0,40.5,1846.4736842105262,42.97061419401084,3.0,141.0,20,20,1.0
1999_genin_v_estonia,103.0,51.5,3960.5,62.932503525602726,7.0,96.0,"Alex Genin, Eastern Credit Limited, Inc. and A.S. Baltoil v. The Republic of Estonia, ICSID Case No. ARB/99/2 | italaw",International Investment Agreement,ICSID,Estonia-United States BIT,,Financial and insurance activities,103.0,51.5,3960.5,62.932503525602726,7.0,96.0,3,2,0.6666666666666666
