unctad_case_id,case_name,short_case_name,year_of_initiation,italaw_link,applicable_iia,respondent_state,investor_nationality,investment_summary,economic_sector,arbitral_rules,administering_institution,case_status,decisions,amount_claimed_usd,amount_awarded_usd,breaches_alleged,breaches_found,follow_on_proceedings,fetch_status
1,AAPL v. Sri Lanka,AAPL v. Sri Lanka,1987.0,http://italaw.com/cases/96,Sri Lanka - United Kingdom BIT (1980),Sri Lanka,United Kingdom,Details of investment Shareholding in a Sri Lankan shrimp farming enterprise. Summary of the dispute Claims arising out of the alleged destruction of claimant's investment during a military operation conducted by Sri Lanka security forces.,"Economic sector | Primary: A - Agriculture, forestry and fishing | Economic subsector | 3 - Fishing and aquaculture",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 27 June 1990 Dissenting Opinion of Samuel K.B. Asante (Award),8.00 mln USD,0.46 mln USD,"Full protection and security, or similarLosses sustained due to insurrection, war, or similar eventsCustomary rules of international law",Customary rules of international law,Type of follow-on proceedings None,success
2,AMT v. Democratic Republic of the Congo,AMT v. Democratic Republic of the Congo,1993.0,http://www.italaw.com/cases/76,"Congo, Democratic Republic of the - United States BIT (1984)","Congo, Democratic Republic of the",United States of America,"Details of investment Majority shareholding in company engaged in the production and sale of automotive and dry cell batteries and in the importation and resale of consumer goods and foodstuffs. Summary of the dispute Claims arising out of two alleged episodes of looting in which soldiers of the Zairian armed forces destroyed, damaged or took away certain property, finished goods, raw materials and other objects of value belonging to the local subsidiary of the investor.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 27 - Manufacture of electrical equipment,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 21 February 1997 Statement of the Individual Opinion of Mr. Heribert Golsong (Award) Declaration by Mr. Keba Mbaye (Award),21.50 mln USD,9.00 mln USD,"Full protection and security, or similarLosses sustained due to insurrection, war, or similar events","Full protection and security, or similarLosses sustained due to insurrection, war, or similar events",Type of follow-on proceedings None,success
3,Gruslin v. Malaysia (I),Gruslin v. Malaysia (I),1994.0,,BLEU (Belgium-Luxembourg Economic Union) - Malaysia BIT (1979),Malaysia,Belgium,Details of investment Summary of the dispute,Economic sector | Tertiary: F - Construction | Economic subsector | 43 - Specialized construction activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,"Order taking note of the discontinuance issued by the Tribunal dated 24 April 1996, pursuant to Arbitration Rule 43(1)",Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
4,Saar Papier v. Poland (I),Saar Papier v. Poland (I),1994.0,http://www.italaw.com/cases/946,Germany - Poland BIT (1989),Poland,Germany,Details of investment Ownership of local subsidiary company for import of waste-paper into Poland. Summary of the dispute Claims arising out of the prohibition on importation of raw material waste paper pursuant to a statutory amendment concerning environmental protection.,"Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",UNCITRAL,None (no administering institution),Decided in favour of investor,Interim Award on Jurisdiction dated 17 August 1994 Dissenting Opinion of Dr. habil. Tadeusz Szurski (Interim Award on Jurisdiction) Final Award dated 16 October 1995 Dissenting Opinion of Dr. habil. Tadeusz Szurski (Final Award),2.30 mln DEM (1.60 mln USD),2.30 mln DEM (1.60 mln USD),Indirect expropriation,Indirect expropriation,Type of follow-on proceedings Data not available,success
5,Goetz v. Burundi (I),Goetz v. Burundi (I),1995.0,http://www.italaw.com/cases/508,BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Burundi,Belgium,Details of investment Ownership of local subsidiary involved in the production and marketing of precious metals. Summary of the dispute Claims arising out of the Government's alleged withdrawal of a certificate of free zone conferring tax and customs exemptions.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 8 - Other mining and quarrying,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Decision on Liability dated 2 September 1998 Award (Embodying the Parties' Settlement Agreement) dated 10 February 1999,175.00 mln USDAwarded through settlement3.00 mln USD,,Indirect expropriation,Indirect expropriation,Type of follow-on proceedings None,success
6,Leaf Tobacco v. Albania,Leaf Tobacco v. Albania,1995.0,,Albania - Greece BIT (1991),Albania,Greece,Details of investment Data not available Summary of the dispute Data not available,Economic sector | Secondary: C - Manufacturing | Economic subsector | 12 - Manufacture of tobacco products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,"Order of the Secretary-General taking note of the discontinuance dated 30 January 1997, pursuant to Arbitration Rule 44",Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
7,France Telecom v. Poland,France Telecom v. Poland,1996.0,,France - Poland BIT (1989),Poland,France,Details of investment Shareholding in local cellular phone company. Summary of the dispute Claims arising out of certain telecommunications statutory enactment overturning a Government's letter of intent which contained Poland's commitment to award the claimant digital cellular licenses.,Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,UNCITRAL,Data not available,Settled,Data not available,500.00 mln USDAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings Data not available,success
8,Ameritech v. Poland,Ameritech v. Poland,1996.0,,Poland - United States BIT (1990),Poland,United States of America,Details of investment Shareholding in local cellular phone company. Summary of the dispute Claims arising out of certain telecommunications statutory enactment overturning a Government's letter of intent which contained Poland's commitment to award the claimant digital cellular licenses.,Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,UNCITRAL,Data not available,Settled,Data not available,500.00 mln USDAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings Data not available,success
9,Biedermann v. Kazakhstan,Biedermann v. Kazakhstan,1996.0,http://italaw.com/cases/149,Kazakhstan - United States BIT (1992),Kazakhstan,United States of America,Details of investment Oil concession agreement to develop the Kenbai field in the Atyrau region. Summary of the dispute Claims arising out of the Government's termination of an oil concession agreement entered into with the claimant.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 6 - Extraction of crude petroleum and natural gas,SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of investor,Award dated 2 August 1999,Data not available,8.90 mln USD,Indirect expropriation,Indirect expropriation,Type of follow-on proceedings None,success
10,Saar Papier v. Poland (II),Saar Papier v. Poland (II),1996.0,,Germany - Poland BIT (1989),Poland,Germany,"Details of investment Ownership of local subsidiary company for import of waste-paper into Poland. Summary of the dispute Claims arising out of alleged damages for a subsequent time period during which Poland had continued to block Saar Papier's operations, despite a prior arbitration award rendered in favour of the investor.","Economic sector | Tertiary: E - Water supply; sewerage, waste management and remediation activities | Economic subsector | 38 - Waste collection, treatment and disposal activities; materials recovery",UNCITRAL,None (no administering institution),Decided in favour of State,Interim Award dated 24 January 2000 Final Award dated 7 June 2001,Data not available,Data not available,Data not available,None - all claims dismissed at the merits stage,Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Decision of the Swiss Federal Tribunal dated 20 September 2000 (regarding the Interim Award of 24 January 2000) Decision of the Swiss Federal Tribunal dated 1 March 2002 (regarding the Final Award of 7 June 2001),success
